validation_scope,split_name,holdout_key,target,model,n_rows,n_train,n_holdout,n_groups,n_folds,mean_runtime_min,mae,rmse,r2,spearman,normalized_mae_runtime_pct,mean_bias,median_abs_error
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,quality_score,random_forest,1340,16027.0,1340.0,335.0,,21.5,4.451994328746878e-14,4.451994328746878e-14,,,,4.451994328746878e-14,4.451994328746878e-14
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,quality_score,extra_trees,1340,16027.0,1340.0,335.0,,21.5,6.827871601444713e-14,6.827871601444713e-14,,,,6.827871601444713e-14,6.827871601444713e-14
method_holdout,holdout,Thermo Hypersil GOLD | meoh_formic_acid,quality_score,hist_gradient_boosting,1340,16027.0,1340.0,335.0,,21.5,0.0004708319999635638,0.0008349518269998831,,,,0.0004708319999635638,7.348741411938864e-05
column_family_holdout,holdout,C18,rt_min,linear_ridge,13064,4303.0,13064.0,2890.0,,30.879975505205145,5.046167971117435,7.015932325985262,0.5921795697021048,0.7107751309559706,16.341230485324868,-1.0808827732395476,3.6153907545941495
column_family_holdout,holdout,C18,rt_min,random_forest,13064,4303.0,13064.0,2890.0,,30.879975505205145,2.9200452943638537,4.72243205538123,0.8152307770752034,0.8598432597918285,9.45611272868934,-0.7983029008203614,1.7129250001666623
column_family_holdout,holdout,C18,rt_min,extra_trees,13064,4303.0,13064.0,2890.0,,30.879975505205145,2.878626739325289,4.615793702607682,0.82348119585032,0.8731263712791577,9.32198517722291,-0.7800353959676438,1.8460192747578168
column_family_holdout,holdout,C18,rt_min,hist_gradient_boosting,13064,4303.0,13064.0,2890.0,,30.879975505205145,2.8944673582419167,4.7754276900718295,0.8110605083045952,0.8770434494086821,9.373282558964542,-0.17905862891816904,1.8043264038679068
column_family_holdout,holdout,C18,quality_score,linear_ridge,13064,4303.0,13064.0,2890.0,,30.879975505205145,0.04580991207372197,0.050046260697131424,,,,0.04580984341327543,0.03947650920460666
column_family_holdout,holdout,C18,quality_score,random_forest,13064,4303.0,13064.0,2890.0,,30.879975505205145,8.565943423040797e-15,8.6066084690512e-15,,,,-8.565943423040797e-15,8.881784197001252e-15
column_family_holdout,holdout,C18,quality_score,extra_trees,13064,4303.0,13064.0,2890.0,,30.879975505205145,3.122663725201822e-15,3.1258318116454883e-15,,,,-3.122663725201822e-15,3.1086244689504383e-15
column_family_holdout,holdout,C18,quality_score,hist_gradient_boosting,13064,4303.0,13064.0,2890.0,,30.879975505205145,0.003980683017503673,0.008646075599734364,,,,0.0015777993773631073,4.938251265906857e-06
column_family_holdout,holdout,unknown,rt_min,linear_ridge,4291,13076.0,4291.0,2343.0,,20.947984152878117,5.081428142610232,7.4623041918357345,-0.16499768680690918,0.6919842818563803,24.257361021117998,-1.8994099901456412,3.1068704050560614
column_family_holdout,holdout,unknown,rt_min,random_forest,4291,13076.0,4291.0,2343.0,,20.947984152878117,2.424332449306269,3.347732224022852,0.7655336129801015,0.8065537888780461,11.573106183456709,1.3499387200699628,1.6583594176458387
column_family_holdout,holdout,unknown,rt_min,extra_trees,4291,13076.0,4291.0,2343.0,,20.947984152878117,2.4478521956356105,3.2870164532394184,0.7739612370568523,0.8120023393261381,11.685383079208085,1.2562572105805514,1.6912395833333402
column_family_holdout,holdout,unknown,rt_min,hist_gradient_boosting,4291,13076.0,4291.0,2343.0,,20.947984152878117,2.720867936915219,3.789570361431393,0.6995590572494246,0.7496434089839283,12.988686248081724,1.6668812956837669,1.7940021388281018
column_family_holdout,holdout,unknown,quality_score,linear_ridge,4291,13076.0,4291.0,2343.0,,20.947984152878117,0.009034337974134181,0.011584907418202532,,,,0.005763467889115784,0.007858876602798825
column_family_holdout,holdout,unknown,quality_score,random_forest,4291,13076.0,4291.0,2343.0,,20.947984152878117,5.717648576819556e-14,5.717648576819556e-14,,,,5.717648576819556e-14,5.717648576819556e-14
column_family_holdout,holdout,unknown,quality_score,extra_trees,4291,13076.0,4291.0,2343.0,,20.947984152878117,1.2101430968414206e-13,1.2101430968414206e-13,,,,1.2101430968414206e-13,1.2101430968414206e-13
column_family_holdout,holdout,unknown,quality_score,hist_gradient_boosting,4291,13076.0,4291.0,2343.0,,20.947984152878117,0.013457827904638342,0.03938964993391441,,,,0.01338063894444465,1.2161158473023015e-05
